ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,orig_mac_oui
1759309256.865345,Cap3t4jrBo5doTV41,10.0.0.1,43842,8.8.8.8,53,udp,dns,0.0080609321594238,29.0,45.0,SF,True,False,0,Dd,1,57,1,73,1:zJZpyAs2IrqRK7iEZxX8uAhIGTI=,Dell Inc.
1759309859.941611,C5fwH94cgfDVtOq7Zc,10.0.0.2,50510,10.0.0.1,80,tcp,http,0.0056250095367431,1767.0,314.0,SF,True,True,0,ShADadFf,7,2139,5,582,1:Y2MDTVX+GNiP9cbJqCtVG9FzjBI=,"LCFC(Hefei) Electronics Technology co., ltd"
1759309805.178616,Cjq09z1RfvZ0X6Jff,10.0.0.1,42937,172.253.118.93,443,udp,"ssl,quic",0.1720368862152099,9462.0,5788.0,SF,True,False,0,Dd,15,9882,18,6292,1:0H63cItyw4/aF/p+HlbCgqto+qY=,Dell Inc.
1759309226.835722,CaEmc71jNrNYM3Gtl9,10.0.0.1,35066,74.125.200.94,443,udp,"ssl,quic",0.1569910049438476,3965.0,4621.0,SF,True,False,0,Dd,8,4189,12,4957,1:x0yenPZvQlJoHKUrQ+hZVUn46A0=,Dell Inc.
1759309856.944489,CGx88342LHmaBKFpz,10.0.0.1,47460,8.8.8.8,53,udp,dns,5.980074882507324,29.0,118.0,SF,True,False,0,Dd,1,57,2,174,1:kOHS0hlNGKAW1z8x5AoKqNGDTLU=,Dell Inc.
1759309128.324757,Ca3WC42gV4wRyJTu2i,10.0.0.1,53114,142.251.10.136,443,udp,"ssl,quic",90.14538383483888,12491.0,4996.0,SF,True,False,0,Dd,23,13135,29,5808,1:PBxrwOL2TNxbDWJ7hFI3914FCfE=,Dell Inc.
1759309856.944485,CcSFHv2lbDT0LIUuF2,10.0.0.1,55287,8.8.8.8,53,udp,dns,0.0142719745635986,29.0,45.0,SF,True,False,0,Dd,1,57,1,73,1:LQOxVpWgSE7qErkXJ50VNkuGcEg=,Dell Inc.
1759309222.818964,Cx1AFHZ6CeI9Lz1E1,10.0.0.2,48773,239.255.255.250,1900,udp,,3.0038809776306152,692.0,0.0,S0,True,False,0,D,4,804,0,0,1:Spf+EAdI0d/ew2NueRavCzf7nok=,"LCFC(Hefei) Electronics Technology co., ltd"
1759309280.470909,CmfKVU1P5I1gaOcMge,10.0.0.1,60656,51.116.253.170,443,tcp,ssl,1.021819829940796,10062.0,5158.0,SF,True,False,0,ShADdafF,17,10954,13,5842,1:d6c4b1/srIoJRJezmCFkzGKnGNY=,Dell Inc.
1759309822.813563,CSYBcT1h3k6nTJxK85,10.0.0.2,34028,239.255.255.250,1900,udp,,3.005469799041748,692.0,0.0,S0,True,False,0,D,4,804,0,0,1:s3d4bGijrU2mdtcfm1VvXqOQSRM=,"LCFC(Hefei) Electronics Technology co., ltd"
