ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,origin,info_code,info_msg,resp_filenames
1759317130.751966,ChfGvw296ai0E1vfYi,10.0.0.2,46220,10.0.0.1,80,1,POST,10.0.0.1,/samples.php?g=5512966r9,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",1034,0,202.0,Accepted,[],,,['FIjVOs3XVM58VTGUPi'],['text/plain'],,,,,
1759317182.555547,Cq9RXk2DITzu1ARlyh,10.0.0.1,59240,142.251.12.94,80,1,POST,clientservices.googleapis.com,/uma/v2,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",35460,2,200.0,OK,[],['F3alxh2YKhNxoWUYjj'],,['FLzKmo2Ka9qbP4bGib'],,,,,,
1759317199.01073,C3aZO93KkL3tVcxPNf,10.0.0.2,47618,10.0.0.1,80,2,GET,10.0.0.1,/umd/bundles/umd/umd/bundle/email.js?_=41476370,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,78,200.0,OK,[],['F9G0qb4HJ94Gui05V3'],['text/plain'],,,,,,,
1759317199.008734,C3aZO93KkL3tVcxPNf,10.0.0.2,47618,10.0.0.1,80,1,POST,10.0.0.1,/database/api/oauth2/database/api.php?m=67940523,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",525,0,202.0,Accepted,[],,,['FLHQ1CBRzOY1IwY34'],['application/x-gzip'],,,,,
1759317278.312436,Cl6GwMIfrVKowCjTg,10.0.0.2,43510,10.0.0.1,80,1,POST,10.0.0.1,/oauth/database/api/api.php?z=48263703,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",526,0,202.0,Accepted,[],,,['FYtpxA2mIsTz8gVsje'],['application/x-gzip'],,,,,
1759317278.314215,Cl6GwMIfrVKowCjTg,10.0.0.2,43510,10.0.0.1,80,2,GET,10.0.0.1,/array.js?w=32412681,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['F0n7XP3tVw68swppza'],['text/plain'],,,,,,,
1759317355.597904,CsVvIV25RA0rUZx5ah,10.0.0.2,44336,10.0.0.1,80,1,POST,10.0.0.1,/php/samples.php?r=98350007,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",561,0,202.0,Accepted,[],,,['FXEyMq2UMNWBDDdNTh'],['application/x-gzip'],,,,,
1759317355.599918,CsVvIV25RA0rUZx5ah,10.0.0.2,44336,10.0.0.1,80,2,GET,10.0.0.1,/bundle/assets/jquery.min.js?f=81417054,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,358,200.0,OK,[],['FX4nK54b1OW9Wa5SM9'],['application/x-gzip'],,,,,,,
1759317437.462662,Cc5lFc1soWfc4uWi45,10.0.0.2,42324,10.0.0.1,80,1,POST,10.0.0.1,/php/namespaces/namespaces/samples.php?j=91572522,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",171,0,202.0,Accepted,[],,,['FzYwq61bam7fMbe1ra'],['text/plain'],,,,,
1759317327.787331,CNyHdy4TSdAl95vQEh,10.0.0.1,59504,185.125.190.18,80,1,GET,connectivity-check.ubuntu.com.,/,1.1,,0,0,204.0,No Content,[],,,,,,,,,
