ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,established,ssl_history,ja3,ja3s,ja4,community_id,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,next_protocol
1759302677.793552,CqhgAl4HHvbk3Q1Ve4,10.0.0.1,58414,104.16.100.215,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,production.cloudflare.docker.com,False,True,CsxknGIi,404a71f6df3c637a82112844643094cb,6591f269f98467808709ab91e378a3ab,t13d111000_cafd58515627_e7c285222651,1:J8pdQBMiFiMHbULjfABtRDaiZUM=,"['96b5053ea70be9ae4072d98459c9d33fbf76b03908a3d8ec9428e09929dd2c85', '83624fd338c8d9b023c18a67cb7a9c0519da43d11775b4c6cbdad45c3d997c52']",[],True,ok,
1759302683.060634,CsbUhL21Pogrcabax9,10.0.0.1,37802,34.196.183.110,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,registry-1.docker.io,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:Lu7OyqpVWyobWQ2JSTIYZucPHPw=,,,,,
1759302675.128536,CwceDs3jtL2LfOlZy1,10.0.0.1,51198,54.156.120.203,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,registry-1.docker.io,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:9qcKPwr836bI9XVcxL1ly6fa//A=,,,,,
1759302675.571477,C72tsd2tTf30S1ut43,10.0.0.1,33694,185.199.110.154,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,pkg-containers.githubusercontent.com,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:7g4eorq10zV1WoZP7/S2lGNppW0=,,,,,
1759302675.808767,C6fsecosXwl6qGVO9,10.0.0.1,59720,185.199.109.154,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,pkg-containers.githubusercontent.com,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:moyhmRptcS+s1jAO44E6J9q5fLk=,,,,,
1759302676.068996,CosW5qlXV4krwvru5,10.0.0.1,59730,185.199.109.154,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,pkg-containers.githubusercontent.com,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:AR53YyJgslB+84nYWr8lq/AuxC4=,,,,,
1759302862.552501,C9ocep1dj4luMij5Ea,10.0.0.1,49376,140.82.112.21,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,telemetry.individual.githubcopilot.com,False,True,CsiI,d92981146534550ae85075b70b1c352a,f4febc55ea12b31ae17cfb7e614afda8,t13d181200_5d04281c6031_02c8e53ee398,1:DnNFpphvGl6TriS4NwNjVAKQuYo=,,,,,
1759302864.182762,CnX1KhNVA9tts8s4e,10.0.0.1,35096,104.18.39.21,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,ws.chatgpt.com,True,True,CsiI,ae4b6dde716816a246a682c13cfdd4b6,2b0648ab686ee45e0e7c35fcfb0eea7e,t13d1516h1_8daaf6152771_0d365e64def3,1:aZUxIrjxAu5t4gCD6R6s0Rx2ddc=,,,,,
1759302678.187721,CSX4nCIZNdpkfx4qk,10.0.0.1,58624,34.226.57.88,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,registry-1.docker.io,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:X8VgQhOZGaK8kVk8UioFQQXN9E4=,,,,,
1759302863.516376,CEgRGu4hx05DV3QyQk,10.0.0.1,49390,140.82.112.21,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,telemetry.individual.githubcopilot.com,False,True,CsiI,d92981146534550ae85075b70b1c352a,f4febc55ea12b31ae17cfb7e614afda8,t13d181200_5d04281c6031_02c8e53ee398,1:LEpNuoojinV8v/CI/1HDuBAFaPs=,,,,,
